tvdbId,seriesId,seasonNumber,episodeNumber,absoluteNumber,name,writers,directors,aired,runtime,year,finaleType,overview,image,productionCode,lastUpdated,contentRatings,remoteIds
4448742,194031,3,9,31,Bob Rest Ye Merry Gentle-Mannequins,Kit Boss,Anthony Chun,2012-12-16,22,2012,,"When Bob inherits a storage unit around Christmas, visions of riches dance in the heads of the family, but what they find inside is a squatter who claims he once worked as a mannequin.",https://artworks.thetvdb.com/banners/episodes/194031/4448742.jpg,2ASA18,2026-05-21 12:12:50,TV-14,IMDB:tt2531554
4459862,194031,3,10,32,Mother Daughter Laser Razor,Nora Smith,Jennifer Coyle,2013-01-06,22,2013,,"Linda worries that her relationship with Louise isn't as good as it should be, so, much to Louise's chagrin, she forces the young lady to participate in a mother-daughter seminar. With mom away, Tina turns to Bob for a lesson in shaving her legs.",https://artworks.thetvdb.com/banners/episodes/194031/4459862.jpg,2ASA18,2025-06-13 05:49:24,TV-14,IMDB:tt2579964
4464219,194031,3,11,33,Nude Beach,Scott Jacobson,Wesley Archer,2013-01-13,22,2013,,"The new health inspector proves to be a decent fellow, until he blackmails Bob into being allowed to perform his atrocious music at the restaurant, which drives away the customers.",https://artworks.thetvdb.com/banners/episodes/194031/4464219.jpg,2ASA20,2023-05-05 19:13:25,TV-14,IMDB:tt2605340
4487373,194031,3,12,34,Broadcast Wagstaff School News,Greg Thompson,Jennifer Coyle,2013-01-27,21,2013,,There is a “Mad Pooper” running wild at the Belcher children's middle school and Tina finds herself on a mission to get to the “bottom” of the situation.,https://artworks.thetvdb.com/banners/episodes/194031/4487373.jpg,2ASA21,2023-05-05 19:13:54,TV-14,IMDB:tt2615854
4495840,194031,3,13,35,My Fuzzy Valentine,Rich Rinaldi|Dan Fybel,Boohwan Lim|Kyounghee Lim,2013-02-10,22,2013,,"When a heart-shaped pancake simply doesn't cut it, the kids convince Bob to let them skip school in order to help him find a Valentine's Day gift that will ""wow"" Linda. Meanwhile, in the spirit of the romantic holiday, Linda sets up a speed-dating event at the restaurant that doesn't go exactly as planned.",https://artworks.thetvdb.com/banners/episodes/194031/4495840.jpg,3ASA01,2023-05-05 19:14:19,TV-14,IMDB:tt2661986
4498842,194031,3,14,36,Lindapendent Woman,Mike Benner,Don MacKinnon,2013-02-17,21,2013,,"Linda thinks Bob doesn't appreciate her and quits the restaurant to work at a grocery store. In her absence, Bob tries - and fails - to run the place on his own and the kids are stuck in the middle of the marital mayhem. Meanwhile, things get romantic for Tina when she meets her potential soul mate while restocking the milk fridge.",https://artworks.thetvdb.com/banners/episodes/194031/4498842.jpg,2ASA22,2023-05-05 19:14:42,TV-14,IMDB:tt2677612
4506120,194031,3,15,37,O.T.: The Outside Toilet,Wendy Molyneux|Lizzie Molyneux,Anthony Chun,2013-03-03,21,2013,,"When Gene finds an expensive talking toilet out in the woods, he and his friends decide to protect it as much as they can while an evil toilet hunter is looking for the toilet.",https://artworks.thetvdb.com/banners/episodes/194031/4506120.jpg,3ASA02,2023-05-05 19:15:05,TV-14,IMDB:tt2708068
4507753,194031,3,16,38,Topsy,Loren Bouchard|Nora Smith,Tyree Dillihay,2013-03-10,22,2013,,Louise expects to get a charge out of taking down her Thomas Edison-obsessed science teacher when she re-creates one of the famous inventor's experiments that involved electrocuting an elephant.,https://artworks.thetvdb.com/banners/episodes/194031/4507753.jpg,3ASA03,2023-05-05 19:15:28,TV-14,IMDB:tt2733872
4507754,194031,3,17,39,Two for Tina,Scott Jacobson,Wesley Archer,2013-03-17,22,2013,,Jimmy Jr. is threatened when Tina starts dating a ballet dancer named Josh and the two boys get into an epic dance-off for her heart.,https://artworks.thetvdb.com/banners/episodes/194031/4507754.jpg,3ASA04,2023-05-05 19:16:03,TV-14,IMDB:tt2735282
4507755,194031,3,18,40,It Snakes a Village,Kit Boss,Jennifer Coyle,2013-03-24,21,2013,,"The Belcher family road-trips down to Florida to visit Linda's parents who live in a senior home that - to Linda's complete horror - is full of senior swingers! Plus, to keep themselves entertained, Tina, Gene and Louise go on a hunt for a mysterious python that allegedly ate one of the residents' dogs.",https://artworks.thetvdb.com/banners/episodes/194031/4507755.jpg,3ASA05,2023-05-05 19:16:32,TV-14,IMDB:tt2735284
